city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,CONTINENT
Remscheid,Remscheid,51.1833,7.2,Germany,DE,DEU,North Rhine-Westphalia,minor,112970,1276043920,E
Lárisa,Larisa,39.6417,22.4167,Greece,GR,GRC,Thessalía,admin,112777,1300003141,E
Jönköping,Jonkoping,57.7713,14.165,Sweden,SE,SWE,Jönköping,admin,112766,1752079041,E
Trier,Trier,49.7567,6.6414,Germany,DE,DEU,Rhineland-Palatinate,minor,112737,1276211430,E
Bergisch Gladbach,Bergisch Gladbach,50.9918,7.1303,Germany,DE,DEU,North Rhine-Westphalia,minor,112660,1276074373,E
Płock,Plock,52.55,19.7,Poland,PL,POL,Mazowieckie,minor,112483,1616954507,E
Jaén,Jaen,37.7667,-3.7711,Spain,ES,ESP,Andalusia,minor,112074,1724699771,E
Alkmaar,Alkmaar,52.6333,4.75,Netherlands,NL,NLD,Noord-Holland,minor,111766,1528566376,E
Recklinghausen,Recklinghausen,51.585,7.1619,Germany,DE,DEU,North Rhine-Westphalia,minor,111693,1276179876,E
Cádiz,Cadiz,36.535,-6.2975,Spain,ES,ESP,Andalusia,minor,110914,1724502822,E
Jena,Jena,50.9272,11.5861,Germany,DE,DEU,Thuringia,minor,110791,1276659978,E
Montreuil,Montreuil,48.8611,2.4436,France,FR,FRA,Île-de-France,,110758,1250689747,E
Rochdale,Rochdale,53.61,-2.16,United Kingdom,GB,GBR,Rochdale,,110194,1826578106,E
Wythenshawe,Wythenshawe,53.392,-2.264,United Kingdom,GB,GBR,Manchester,,110000,1826781713,E
Reus,Reus,41.156,1.108,Spain,ES,ESP,Catalonia,,109930,1724192207,E
Birkenhead,Birkenhead,53.393,-3.014,United Kingdom,GB,GBR,Wirral,,109848,1826080662,E
Vicenza,Vicenza,45.55,11.55,Italy,IT,ITA,Veneto,minor,109823,1380072199,E
Brovary,Brovary,50.5111,30.79,Ukraine,UA,UKR,Kyivska Oblast,minor,109806,1804386597,E
Doncaster,Doncaster,53.5228,-1.1325,United Kingdom,GB,GBR,Doncaster,,109805,1826979494,E
Winterthur,Winterthur,47.4992,8.7267,Switzerland,CH,CHE,Zürich,minor,109775,1756362130,E
Rotherham,Rotherham,53.43,-1.357,United Kingdom,GB,GBR,Rotherham,,109691,1826763937,E
Maidstone,Maidstone,51.272,0.529,United Kingdom,GB,GBR,Kent,,109490,1826000009,E
Kecskemét,Kecskemet,46.9075,19.6917,Hungary,HU,HUN,Bács-Kiskun,admin,109450,1348900171,E
Delft,Delft,52.0117,4.3592,Netherlands,NL,NLD,Zuid-Holland,minor,109435,1528448452,E
Walthamstow,Walthamstow,51.584,-0.021,United Kingdom,GB,GBR,Waltham Forest,,109424,1826009890,E
Drammen,Drammen,59.7439,10.2045,Norway,NO,NOR,Viken,minor,109416,1578937195,E
Roquetas de Mar,Roquetas de Mar,36.7642,-2.6147,Spain,ES,ESP,Andalusia,,109204,1724749177,E
Baia Mare,Baia Mare,47.6567,23.5719,Romania,RO,ROU,Maramureş,admin,108759,1642459769,E
Ferizaj,Ferizaj,42.3706,21.1553,Kosovo,XK,XKS,Ferizaj,admin,108610,1901875540,E
Oxford,Oxford,51.7519,-1.2578,United Kingdom,GB,GBR,Oxfordshire,,108600,1826689568,E
Caen,Caen,49.1814,-0.3636,France,FR,FRA,Normandie,minor,108398,1250001272,E
Acharnés,Acharnes,38.0833,23.7333,Greece,GR,GRC,Attikí,minor,108169,1300526257,E
Liberec,Liberec,50.7667,15.0667,Czechia,CZ,CZE,Liberecký Kraj,admin,107982,1203577727,E
